"firstname";"sex";"spread";"med";"count";"position";"year"
"Bennet";"m";6;8;10;1;2016
"Bennet";"m";6;8;6;1;2017
"Bennet";"m";6;8;4;1;2018
"Bennet";"w";0;1;1;1;2010
"Bennett";"m";2.5;2.5;2;1;2010
"Bennett";"m";2.5;2.5;2;1;2011
"Bennett";"m";2.5;2.5;4;1;2012
"Bennett";"m";2.5;2.5;1;1;2014
"Bennett";"m";2.5;2.5;5;1;2015
"Bennett";"m";2.5;2.5;5;1;2016
"Bennett";"m";2.5;2.5;1;1;2017
"Bennett";"m";2.5;2.5;3;1;2018
"Benni";"m";0;1;1;1;2018
"Bennit";"m";0;1;1;1;2011
"Bennit";"m";0;1;1;1;2013
"Bennit";"m";0;1;1;1;2014
"Benno";"m";5;8;5;1;2010
"Benno";"m";5;8;6;1;2011
"Benno";"m";5;8;9;1;2012
"Benno";"m";5;8;4;1;2013
"Benno";"m";5;8;8;1;2014
"Benno";"m";5;8;11;1;2015
"Benno";"m";5;8;8;1;2016
"Benno";"m";5;8;14;1;2017
"Benno";"m";5;8;13;1;2018
"Benny";"m";0;1;1;1;2013
"Benny";"m";0;1;1;1;2014
"Benny";"m";0;1;1;1;2016
"Benny";"m";0;1;1;1;2017
"Benoa";"m";0;1;1;1;2015
"Benoît";"m";0;1;1;1;2014
"Bensu";"w";0.5;1;1;1;2012
"Bensu";"w";0.5;1;1;1;2015
"Bensu";"w";0.5;1;2;1;2018
"Bent";"m";0;3;3;1;2010
"Bent";"m";0;3;2;1;2012
"Bent";"m";0;3;4;1;2013
"Bent";"m";0;3;3;1;2014
"Bent";"m";0;3;3;1;2016
"Bent";"m";0;3;3;1;2017
"Bent";"m";0;3;3;1;2018
"Bent-Ole";"m";0;1;1;1;2016
"Bente";"m";2;1;3;1;2011
"Bente";"m";2;1;1;1;2013
"Bente";"m";2;1;1;1;2015
"Bente";"m";2;1;3;1;2016
"Bente";"m";2;1;1;1;2018
"Bente";"w";0.75;1;1;1;2012
"Bente";"w";0.75;1;1;1;2013
"Bente";"w";0.75;1;2;1;2014
"Bente";"w";0.75;1;2;1;2015
"Bente";"w";0.75;1;1;1;2016
"Bente";"w";0.75;1;1;1;2017
"Bentley";"m";0;1;1;1;2015
"Benton";"m";0;1;1;1;2014
"Benua";"m";0;1;1;1;2018
"Benvindo";"m";0;1;1;1;2014
"Beny";"m";0;1;1;1;2018
"Benyamin";"m";0.5;1;2;1;2011
"Benyamin";"m";0.5;1;1;1;2016
"Benyamin";"m";0.5;1;1;1;2017
"Benyaqoub";"m";0;1;1;1;2016
"Beo";"m";0;1;1;1;2015
"Beppa";"w";0;1;1;1;2011
"Beppo";"m";0;1;1;1;2014
"Ber";"m";0;1;1;1;2011
"Bera";"m";0;1;1;1;2011
"Bera";"m";0;1;1;1;2015
"Bera";"w";0;1;1;1;2010
"Bera";"w";0;1;1;1;2015
"Beraat";"m";0;1;1;1;2015
"Berad";"m";0;1;1;1;2012
"Beraet";"w";0;1;1;1;2017
"Berahan";"m";0;1;1;1;2016
"Beran";"m";1;1;1;1;2012
"Beran";"m";1;1;2;1;2013
"Beran";"m";1;1;1;1;2015
"Beran";"m";1;1;2;1;2017
"Beran";"m";1;1;1;1;2018
"Beran-Deniz";"m";0;1;1;1;2017
"Berat";"m";2;9;8;1;2010
"Berat";"m";2;9;10;1;2011
"Berat";"m";2;9;18;1;2012
"Berat";"m";2;9;17;1;2013
"Berat";"m";2;9;9;1;2014
"Berat";"m";2;9;8;1;2015
"Berat";"m";2;9;4;1;2016
"Berat";"m";2;9;9;1;2017
"Berat";"m";2;9;5;1;2018
"Beray";"w";0;2;2;1;2010
"Berşan";"m";0;1;1;1;2014
"Berbel";"w";0;1;1;1;2011
"Bercem";"w";0;1;1;1;2010
"Bercem";"w";0;1;1;1;2018
"Berchtold";"m";0;1;1;1;2012
"Berchtold";"m";0;1;1;1;2016
"Berdan";"m";0;1;1;1;2011
"Berekia";"w";0;1;1;1;2013
"Beren";"m";0;1;1;1;2010
"Beren";"w";2;3.5;1;1;2010
"Beren";"w";2;3.5;6;1;2011
"Beren";"w";2;3.5;3;1;2012
"Beren";"w";2;3.5;4;1;2013
"Beren";"w";2;3.5;5;1;2014
"Beren";"w";2;3.5;5;1;2015
"Beren";"w";2;3.5;3;1;2016
"Beren";"w";2;3.5;3;1;2017
"Berend";"m";0;1;1;1;2010
"Berend";"m";0;1;1;1;2011
"Berendt";"m";0;1;1;1;2015
"Berenike";"w";0.25;1;1;1;2011
"Berenike";"w";0.25;1;1;1;2014
"Berenike";"w";0.25;1;1;1;2016
"Berenike";"w";0.25;1;2;1;2017
"Berfin";"w";2;3;4;1;2010
"Berfin";"w";2;3;6;1;2011
"Berfin";"w";2;3;3;1;2012
"Berfin";"w";2;3;3;1;2013
"Berfin";"w";2;3;3;1;2014
"Berfin";"w";2;3;2;1;2015
"Berfin";"w";2;3;1;1;2016
"Berfin";"w";2;3;1;1;2017
"Berfin";"w";2;3;1;1;2018
"Bergüzar";"w";0;1;1;1;2011
"Berhan";"m";0;1;1;1;2017
"Beria";"w";0.5;1;1;1;2010
"Beria";"w";0.5;1;1;1;2013
"Beria";"w";0.5;1;2;1;2014
"Berihan";"w";0;1;1;1;2016
"Beril";"w";0.5;1.5;1;1;2012
"Beril";"w";0.5;1.5;2;1;2013
"Berin";"w";1;1.5;1;1;2010
"Berin";"w";1;1.5;1;1;2011
"Berin";"w";1;1.5;2;1;2012
"Berin";"w";1;1.5;2;1;2014
"Berina";"w";0;1;1;1;2010
"Berina";"w";0;1;1;1;2013
"Berina";"w";0;1;1;1;2015
"Berina";"w";0;1;1;1;2018
"Berit";"w";0.5;1.5;2;1;2014
"Berit";"w";0.5;1.5;1;1;2016
"Beritan";"w";0.5;1.5;1;1;2012
"Beritan";"w";0.5;1.5;2;1;2017
"Berivan";"w";0;1;1;1;2010
"Berivan";"w";0;1;1;1;2011
"Berivan";"w";0;1;1;1;2014
"Berivan";"w";0;1;1;1;2015
"Berk";"m";1.5;2.5;6;1;2010
"Berk";"m";1.5;2.5;2;1;2011
"Berk";"m";1.5;2.5;4;1;2012
"Berk";"m";1.5;2.5;2;1;2013
"Berk";"m";1.5;2.5;3;1;2014
"Berk";"m";1.5;2.5;3;1;2015
"Berk";"m";1.5;2.5;1;1;2016
"Berk";"m";1.5;2.5;1;1;2018
"Berka";"w";0;1;1;1;2013
"Berkan";"m";0;1;1;1;2010
"Berkan";"m";0;1;1;1;2012
"Berkan";"m";0;1;1;1;2013
"Berkan";"m";0;1;1;1;2015
"Berkan";"m";0;1;1;1;2017
"Berkan";"m";0;1;1;1;2018
"Berkant";"m";0;1;1;1;2013
"Berkant";"m";0;1;1;1;2016
"Berkay";"m";3;4;6;1;2010
"Berkay";"m";3;4;6;1;2011
"Berkay";"m";3;4;5;1;2012
"Berkay";"m";3;4;3;1;2013
"Berkay";"m";3;4;6;1;2014
"Berkay";"m";3;4;4;1;2015
"Berkay";"m";3;4;3;1;2016
"Berkay";"m";3;4;3;1;2017
"Berkay";"m";3;4;2;1;2018
"Berke";"m";1;1.5;2;1;2010
"Berke";"m";1;1.5;1;1;2011
"Berke";"m";1;1.5;3;1;2012
"Berke";"m";1;1.5;2;1;2013
"Berke";"m";1;1.5;1;1;2015
"Berke";"m";1;1.5;1;1;2016
"Berkehan";"m";0;1;1;1;2016
"Berkem";"m";0;1;1;1;2015
"Berken";"m";0.5;1.5;2;1;2013
"Berken";"m";0.5;1.5;1;1;2016
"Berker";"m";0;1;1;1;2016
"Berkin";"m";0.25;1;1;1;2014
"Berkin";"m";0.25;1;2;1;2015
"Berkin";"m";0.25;1;1;1;2017
"Berkin";"m";0.25;1;1;1;2018
"Berksan";"m";0;1;1;1;2014
"Berlina";"w";0;1;1;1;2015
"Berlioz";"m";0;1;1;1;2015
"Berna";"w";1;1.5;2;1;2012
"Berna";"w";1;1.5;1;1;2013
"Berna";"w";1;1.5;2;1;2014
"Berna";"w";1;1.5;1;1;2017
"Bernadet";"w";0;1;1;1;2013
"Bernadett";"w";0;1;1;1;2015
"Bernadette";"w";0.25;1;1;1;2011
"Bernadette";"w";0.25;1;2;1;2012
"Bernadette";"w";0.25;1;1;1;2015
"Bernadette";"w";0.25;1;1;1;2016
"Bernando";"m";0;1;1;1;2014
"Bernando";"m";0;1;1;1;2016
"Bernard";"m";2;2;2;1;2010
"Bernard";"m";2;2;4;1;2011
"Bernard";"m";2;2;3;1;2013
"Bernard";"m";2;2;1;1;2014
"Bernard";"m";2;2;1;1;2015
"Bernarda";"w";0;1;1;1;2011
"Bernardo";"m";0;2;2;1;2017
"Bernd";"m";2;3;3;1;2010
"Bernd";"m";2;3;5;1;2011
"Bernd";"m";2;3;2;1;2012
"Bernd";"m";2;3;4;1;2013
"Bernd";"m";2;3;5;1;2014
"Bernd";"m";2;3;2;1;2015
"Bernd";"m";2;3;3;1;2016
"Berndt";"m";0;1;1;1;2012
"Bernhard";"m";4;4;6;1;2010
"Bernhard";"m";4;4;4;1;2011
"Bernhard";"m";4;4;3;1;2012
"Bernhard";"m";4;4;1;1;2013
"Bernhard";"m";4;4;5;1;2014
"Bernhard";"m";4;4;5;1;2015
"Bernhard";"m";4;4;8;1;2016
"Bernhard";"m";4;4;1;1;2017
"Bernhard";"m";4;4;1;1;2018
"Bernhart";"m";0;1;1;1;2015
"Berni";"w";0;1;1;1;2010
"Bernice";"w";0;1;1;1;2016
"Bernnyse";"w";0;1;1;1;2013
"Bernward";"m";0;1;1;1;2013
"Bernward";"m";0;1;1;1;2018
"Bero";"m";0;1;1;1;2014
"Berr";"m";0;1;1;1;2010
"Berra";"w";0.25;2;1;1;2011
"Berra";"w";0.25;2;2;1;2012
"Berra";"w";0.25;2;2;1;2013
"Berra";"w";0.25;2;2;1;2014
"Berra";"w";0.25;2;2;1;2015
"Berra";"w";0.25;2;4;1;2016
"Berra";"w";0.25;2;2;1;2017
"Berra";"w";0.25;2;1;1;2018
"Berrak";"w";0;1;1;1;2011
"Berrin";"w";0;1;1;1;2014
"Berrin";"w";0;1;1;1;2017
"Berrin";"w";0;1;1;1;2018
"Berrit";"w";0;1;1;1;2011
"Berslan";"m";0;1;1;1;2015
"Bersu";"w";0;1;1;1;2011
"Bert";"m";0;1;2;1;2010
"Bert";"m";0;1;1;1;2011
"Bert";"m";0;1;1;1;2013
"Bert";"m";0;1;1;1;2016
"Bert";"m";0;1;1;1;2017
"Berta";"w";0.25;1;1;1;2010
"Berta";"w";0.25;1;2;1;2014
"Berta";"w";0.25;1;1;1;2015
"Berta";"w";0.25;1;1;1;2018
"Bertalan";"m";0.5;1.5;2;1;2013
"Bertalan";"m";0.5;1.5;1;1;2014
"Bertan";"m";0.25;1;1;1;2010
"Bertan";"m";0.25;1;1;1;2012
"Bertan";"m";0.25;1;2;1;2014
"Bertan";"m";0.25;1;1;1;2016
"Bertan";"w";0;1;1;1;2010
"Berthold";"m";0.25;1;2;1;2011
"Berthold";"m";0.25;1;1;1;2012
"Berthold";"m";0.25;1;1;1;2014
"Berthold";"m";0.25;1;1;1;2016
"Berti";"m";0;1;1;1;2011
"Bertil";"m";0;1;1;1;2016
"Berto";"m";0;1;1;1;2012
"Bertold";"m";0;1;1;1;2012
"Bertram";"m";0;1;1;1;2016
"Bertrand";"m";0;1;1;1;2011
"Bertrand";"m";0;1;1;1;2012
"Bertrand";"m";0;1;1;1;2014
"Bertuğ";"m";0;1;1;1;2012
"Bervan";"m";0;1;1;1;2010
"Berxwedan";"m";0;1;1;1;2016
"Beryar";"w";0;1;1;1;2014
"Berzan";"m";0;1;1;1;2010
"Berzan";"m";0;1;1;1;2011
"Berzan";"m";0;1;1;1;2013
"Berzan";"m";0;1;1;1;2014
"Besaka";"w";0;1;1;1;2013
"Besar";"w";0;1;1;1;2018
"Besart";"m";0;1;1;1;2018
"Besian";"m";0;1;1;1;2011
"Besim";"m";0;1;1;1;2016
"Besir";"m";0;1;1;1;2017
"Besjan";"m";0;1;1;1;2015
"Besjana";"w";0;1;1;1;2011
"Besma";"w";0;1;1;1;2010
"Besnik";"m";0;1;1;1;2018
"Bessé";"w";0;1;1;1;2015
"Bestan";"w";0;1;1;1;2018
"Betül";"m";0;1;1;1;2016
"Betül";"w";3;3;3;1;2010
"Betül";"w";3;3;5;1;2011
"Betül";"w";3;3;7;1;2012
"Betül";"w";3;3;2;1;2013
"Betül";"w";3;3;2;1;2014
"Betül";"w";3;3;1;1;2015
"Betül";"w";3;3;7;1;2016
"Betül";"w";3;3;4;1;2017
"Betül";"w";3;3;2;1;2018
"Betelihem";"w";0;1;1;1;2017
"Bethel";"w";0;1;1;1;2015
"Bethel";"w";0;1;1;1;2018
"Bethy";"w";0;1;1;1;2011
"Betim";"m";0;1;1;1;2012
"Betim";"m";0;1;1;1;2014
"Betina";"w";0;1;1;1;2011
"Betsie";"w";0;1;1;1;2015
"Betsy";"w";0;1;1;1;2013
"Betti";"w";0;1;1;1;2016
"Bettie";"w";0;1;1;1;2012
"Bettie";"w";0;1;1;1;2016
"Bettina";"w";0.5;1.5;2;1;2010
"Bettina";"w";0.5;1.5;1;1;2011
"Betty";"w";0.75;2;2;1;2010
"Betty";"w";0.75;2;2;1;2011
"Betty";"w";0.75;2;2;1;2012
"Betty";"w";0.75;2;1;1;2014
"Betty";"w";0.75;2;1;1;2015
"Betty";"w";0.75;2;2;1;2017
"Betul";"w";0;1;1;1;2015
"Beulah";"w";0;1;1;1;2015
"Bevan";"m";0;1;1;1;2014
"Beverly";"w";1;2;3;1;2010
"Beverly";"w";1;2;1;1;2013
"Bevis";"m";0;1;1;1;2011
"Bewar";"m";0;1;1;1;2016
"Beya";"w";0;1;1;1;2013
"Beya";"w";0;1;1;1;2017
"Beyari";"m";0;1;1;1;2013
"Beyatriche";"w";0;1;1;1;2018
"Beyaz";"m";0;1;1;1;2011
"Beyazid";"m";0;1;1;1;2012
"Beybûn";"w";0;1;1;1;2018
"Beyda";"w";0;2;2;1;2010
"Beyer";"w";0;1;1;1;2013
"Beyhan";"w";0;1;1;1;2011
"Beykan";"m";0;1;1;1;2014
"Beyla";"w";0;1;1;1;2015
"Beyrutova";"w";0;1;1;1;2015
"Beytrice";"w";0;1;1;1;2012
"Beytullah";"m";0;1;1;1;2010
"Beytullah";"m";0;1;1;1;2012
"Beytullah";"m";0;1;1;1;2013
"Beytullah";"m";0;1;1;1;2015
"Beyza";"w";2;5;10;1;2010
"Beyza";"w";2;5;5;1;2011
"Beyza";"w";2;5;2;1;2012
"Beyza";"w";2;5;5;1;2013
"Beyza";"w";2;5;6;1;2014
"Beyza";"w";2;5;3;1;2015
"Beyza";"w";2;5;5;1;2016
"Beyza";"w";2;5;3;1;2017
"Beyza";"w";2;5;2;1;2018
"Beyzanur";"w";0;1;1;1;2011
"Beyzat";"m";0;1;1;1;2014
"Beza";"m";0;1;1;1;2011
"Bezawit";"w";0;1;1;1;2013
"Bhadri";"m";0;1;1;1;2017
"Bharat";"m";0;1;1;1;2010
"Bhavya";"w";0;1;1;1;2014
"Bhuvanesh";"m";0;1;1;1;2012
"Biaggio";"m";0;1;1;1;2013
"Biagio";"m";0;1;1;1;2011
"Biagio";"m";0;1;1;1;2012
"Biagio";"m";0;1;1;1;2014
"Biagio";"m";0;1;1;1;2017
"Bianca";"w";2;3;1;1;2010
"Bianca";"w";2;3;1;1;2011
"Bianca";"w";2;3;3;1;2012
"Bianca";"w";2;3;2;1;2013
"Bianca";"w";2;3;3;1;2014
"Bianca";"w";2;3;5;1;2015
"Bianca";"w";2;3;3;1;2016
"Bianca";"w";2;3;1;1;2017
"Bianca";"w";2;3;3;1;2018
"Bianka";"w";0;1;1;1;2011
"Bianka";"w";0;1;1;1;2013
"Bianka";"w";0;1;1;1;2014
"Bianka";"w";0;1;1;1;2015
"Bianka";"w";0;1;1;1;2017
"Bianka";"w";0;1;1;1;2018
"Biatris";"w";0;1;1;1;2012
"Biatrisa";"w";0;1;1;1;2016
"Biav";"w";0;1;1;1;2017
"Biba";"w";0;1;1;1;2014
"Bibi";"w";0;1;1;1;2014
"Bibi";"w";0;1;1;1;2016
"Bibi";"w";0;1;1;1;2018
"Biblina";"w";0;1;1;1;2017
"Bibo";"m";0;1;1;1;2010
"Bibo";"m";0;1;1;1;2014
"Bibo";"m";0;1;1;1;2016
"Bibolovna";"w";0;1;1;1;2014
"Bidai";"m";0;1;1;1;2018
"Bidam";"m";0;1;1;1;2016
"Biel";"m";0;1;1;1;2013
"Biessahn";"w";0;1;1;1;2018
"Bigi";"w";0;1;1;1;2015
"Bijan";"m";1;2;2;1;2011
"Bijan";"m";1;2;1;1;2012
"Bijan";"m";1;2;2;1;2013
"Bijan";"m";1;2;3;1;2014
"Bijan";"m";1;2;1;1;2015
"Biko";"m";0;1;1;1;2012
"Biko";"m";0;1;1;1;2013
"Bila";"m";0;1;1;1;2014
"Bilal";"m";3;11;5;1;2010
"Bilal";"m";3;11;8;1;2011
"Bilal";"m";3;11;14;1;2012
"Bilal";"m";3;11;6;1;2013
"Bilal";"m";3;11;11;1;2014
"Bilal";"m";3;11;12;1;2015
"Bilal";"m";3;11;11;1;2016
"Bilal";"m";3;11;11;1;2017
"Bilal";"m";3;11;8;1;2018
"Bilal";"w";0;1;1;1;2011
"Bilal-Emin";"m";0;1;1;1;2018
"Bilan";"m";0;1;1;1;2013
"Bilay";"w";0;1;1;1;2015
"Bilegt";"m";0;1;1;1;2013
"Bilel";"m";0.5;1.5;2;1;2012
"Bilel";"m";0.5;1.5;1;1;2017
"Bilent";"w";0;1;1;1;2013
"Bilge";"m";0;1;1;1;2015
"Bilge";"w";0;1;1;1;2011
"Bilge";"w";0;1;1;1;2013
"Bilge";"w";0;1;1;1;2015
"Bilge";"w";0;1;1;1;2017
"Bilge";"w";0;1;1;1;2018
"Bilge-Kaan";"m";0;1;1;1;2017
"Bilgehan";"m";0;1;1;1;2014
"Bilgehan";"m";0;1;1;1;2015
"Bilgin";"m";0;2;2;1;2012
"Biljan";"m";0;1;1;1;2013
"Biljana";"w";0;1;1;1;2016
"Bill";"m";0;1;1;1;2011
"Bill";"m";0;1;1;1;2012
"Billa";"w";0;1;1;1;2015
"Billie";"w";0;2;2;1;2011
"Billie-Fay";"w";0;1;1;1;2017
"Billy";"m";0;1;1;1;2012
"Biloa";"w";0;1;1;1;2014
"Bilyan";"m";0;1;1;1;2018
"Bilyanova";"w";0;1;1;1;2016
"Bin";"m";0.5;1;1;1;2011
"Bin";"m";0.5;1;2;1;2013
"Bin";"m";0.5;1;1;1;2015
"Bina";"w";0;1;1;1;2017
"Binah";"w";0;1;1;1;2010
"Binai";"w";0;1;1;1;2016
"Bincy";"w";0;1;1;1;2018
"Binderiya";"w";0;1;1;1;2015
"Bine";"w";0;1;1;1;2017
"Binevs";"w";0;1;1;1;2015
"Bingzhi";"m";0;1;1;1;2010
"Binh";"m";0;1;1;1;2014
"Binijam";"m";0;1;1;1;2010
"Binjamin";"m";0;1;1;1;2017
"Bino";"m";0;1;1;1;2010
"Binta";"w";0;1;1;1;2015
"Binta";"w";0;1;1;1;2016
"Bintang";"m";0;1;1;1;2012
"Bintou-Raby";"w";0;1;1;1;2013
"Bintu-Maximilian";"m";0;1;1;1;2014
"Binyamin";"m";0;1;1;1;2012
"Biorn";"m";0;1;1;1;2017
"Bir";"m";0;1;1;1;2011
"Biram";"m";0;1;1;1;2016
"Birben";"w";0;1;1;1;2016
"Bircan";"w";0;1;1;1;2011
"Birgül";"w";0;1;1;1;2012
"Birgül";"w";0;1;1;1;2014
"Birger";"m";0;1;1;1;2010
"Birgit";"w";0.5;1;1;1;2011
"Birgit";"w";0.5;1;3;1;2013
"Birgit";"w";0.5;1;1;1;2014
"Birgit";"w";0.5;1;1;1;2015
"Birgitt";"w";0;1;1;1;2014
"Birhad";"m";0;1;1;1;2018
"Birhat";"m";0;1;1;1;2011
"Birhat";"m";0;1;1;1;2015
"Birhat";"m";0;1;1;1;2017
"Biricik";"w";0;1;1;1;2011
"Birk";"m";0;1;1;1;2011
"Birkan";"m";0;1;1;1;2011
"Birkan";"m";0;1;1;1;2012
"Birkan";"m";0;1;1;1;2015
"Birkan";"m";0;1;1;1;2016
"Birkan";"m";0;1;1;1;2017
"Birkir";"m";0;1;1;1;2016
"Birklind";"w";0;1;1;1;2011
"Birsel";"w";0;1;1;1;2010
"Birsel";"w";0;1;1;1;2014
"Birses";"m";0;1;1;1;2012
"Birte";"w";0;1;1;1;2011
"Birte";"w";0;1;1;1;2015
"Bisa";"w";0;1;1;1;2016
"Bisan";"w";0;1;1;1;2017
"Bischoff";"m";0;1;1;1;2017
"Biser";"m";0;1;1;1;2010
"Bisera";"w";0;1;1;1;2011
"Bisera";"w";0;1;1;1;2014
"Bislanovna";"w";0;1;1;1;2016
"Bissan";"w";0;1;1;1;2010
"Bisser";"m";0;1;1;1;2011
"Bistra";"w";0;1;1;1;2018
"Biyan";"m";0;1;1;1;2015
"Biyazit";"m";0;2;2;1;2012
"Bjørg";"w";0;1;1;1;2016
"Bjørn";"m";0;2;2;1;2018
"Björn";"m";1;2;2;1;2010
"Björn";"m";1;2;4;1;2011
"Björn";"m";1;2;2;1;2012
"Björn";"m";1;2;3;1;2013
"Björn";"m";1;2;2;1;2014
"Björn";"m";1;2;1;1;2015
"Björn";"m";1;2;4;1;2016
"Björn";"m";1;2;1;1;2017
"Björn";"m";1;2;3;1;2018
"Bjane";"m";0;1;1;1;2018
"Bjarne";"m";1.25;3;2;1;2010
"Bjarne";"m";1.25;3;3;1;2011
"Bjarne";"m";1.25;3;2;1;2012
"Bjarne";"m";1.25;3;6;1;2013
"Bjarne";"m";1.25;3;4;1;2014
"Bjarne";"m";1.25;3;3;1;2015
"Bjarne";"m";1.25;3;2;1;2016
"Bjarne";"m";1.25;3;3;1;2018
"Bjor";"m";0;1;1;1;2016
"Blaže";"m";0;1;1;1;2015
"Blago";"m";0;1;1;1;2018
"Blagoi";"m";0;1;1;1;2014
"Blanca";"w";0;2;2;1;2010
"Blanche";"w";0;1;1;1;2013
"Blanka";"w";0.25;1;1;1;2013
"Blanka";"w";0.25;1;1;1;2014
"Blanka";"w";0.25;1;2;1;2015
"Blanka";"w";0.25;1;1;1;2018
"Bleart";"m";0;1;1;1;2010
"Bledion";"m";0;1;1;1;2012
"Blenart";"m";0;1;1;1;2010
"Blend";"m";0;1;1;1;2011
"Blend";"m";0;1;1;1;2014
"Blend";"m";0;1;1;1;2017
"Blenda";"w";0;1;1;1;2012
"Blendion";"m";0;1;1;1;2016
"Bleon";"m";0;1;1;1;2018
"Bleona";"w";0;1;1;1;2015
"Blerian";"m";0;1;1;1;2016
"Blerim";"m";0;1;1;1;2010
"Blerim";"m";0;1;1;1;2011
"Blerim";"m";0;1;1;1;2013
"Blerim";"m";0;1;1;1;2016
"Blerim";"m";0;1;1;1;2018
"Blerina";"w";0;2;2;1;2015
"Bleron";"m";0;1;1;1;2015
"Blerta";"w";0;1;1;1;2011
"Blessed";"w";0;1;1;1;2015
"Blessing";"m";0;1;1;1;2012
"Blessing";"m";0;1;1;1;2014
"Blessing";"w";0;1;1;1;2010
"Blessing";"w";0;1;1;1;2011
"Blessing";"w";0;1;1;1;2012
"Blessing";"w";0;1;1;1;2013
"Blessing";"w";0;1;2;1;2015
"Blessing";"w";0;1;1;1;2018
"Blessy";"w";0;1;1;1;2012
"Bleta";"w";0;1;1;1;2015
"Bletare";"w";0;1;1;1;2010
"Bletmira";"w";0;1;1;1;2010
"Blewussi";"m";0;1;1;1;2011
"Blina";"w";0;1;1;1;2014
"Blingbling";"w";0;1;1;1;2012
"Blinora";"w";0;1;1;1;2011
"Bliss";"m";0;1;1;1;2012
"Blomma";"w";0;1;1;1;2011
"Blu";"m";0;1;1;1;2012
"Blue";"w";0;1;1;1;2013
"Blues";"w";0;1;1;1;2010
"Bnar";"w";0;1;1;1;2014
"Bo";"m";1;4;4;1;2010
"Bo";"m";1;4;2;1;2011
"Bo";"m";1;4;4;1;2012
"Bo";"m";1;4;4;1;2013
"Bo";"m";1;4;4;1;2014
"Bo";"m";1;4;10;1;2015
"Bo";"m";1;4;6;1;2016
"Bo";"m";1;4;5;1;2017
"Bo";"m";1;4;4;1;2018
"Bo";"w";0;1;1;1;2010
"Bo";"w";0;1;1;1;2014
"Bo";"w";0;1;1;1;2015
"Bo";"w";0;1;1;1;2017
"Bo";"w";0;1;1;1;2018
"BO";"m";0;1;1;1;2016
"Boško";"m";0;2;2;1;2012
"Bożena";"w";0;1;1;1;2014
"Boakye";"m";0;1;1;1;2013
"Boas";"m";0;1;1;1;2017
"Boatemaa";"w";0;1;1;1;2014
"Boatemah";"w";0;1;1;1;2011
"Boateng";"m";0;1;1;1;2012
"Boateng";"m";0;1;1;1;2016
"Bob";"m";1;1.5;1;1;2010
"Bob";"m";1;1.5;2;1;2012
"Bob";"m";1;1.5;1;1;2014
"Bob";"m";1;1.5;2;1;2015
"Bobbi";"m";0;1;1;1;2016
"Bobby";"m";0;1;1;1;2017
"Bobby";"w";0;1;1;1;2014
"Boce";"m";0;1;1;1;2016
"Bode";"m";0;1;1;1;2015
"Bodhi";"m";0;2;2;1;2014
"Bodo";"m";0.75;1;1;1;2011
"Bodo";"m";0.75;1;2;1;2013
"Bodo";"m";0.75;1;2;1;2014
"Bodo";"m";0.75;1;1;1;2015
"Bodo";"m";0.75;1;1;1;2016
"Bodo";"m";0.75;1;1;1;2017
"Bogdan";"m";0.25;1;1;1;2011
"Bogdan";"m";0.25;1;1;1;2012
"Bogdan";"m";0.25;1;2;1;2015
"Bogdan";"m";0.25;1;1;1;2018
"Bogdanovič";"m";0;1;1;1;2011
"Bogusław";"m";0;1;1;1;2013
"Boguslaw";"m";0;1;1;1;2010
"Bohan";"m";0;1;1;1;2012
"Bohan";"m";0;1;1;1;2013
"Bohdan";"m";0;1;1;1;2017
"Bohyeba";"w";0;1;1;1;2013
"Boie";"m";0;1;1;1;2011
"Boieru";"m";0;1;1;1;2015
"Bojan";"m";0;1;1;1;2010
"Bojan";"m";0;1;1;1;2011
"Bojan";"m";0;1;2;1;2012
"Bojan";"m";0;1;1;1;2013
"Bojan";"m";0;1;1;1;2016
"Bojana";"w";0;1;1;1;2015
"Bola";"m";0;1;1;1;2011
"Boleslaw";"m";0;2;2;1;2016
"Bolle";"m";0;1;1;1;2013
"Boluwatife";"m";0;1;1;1;2015
"Bonaventura";"m";0;1;1;1;2010
"Bonaventura";"m";0;1;1;1;2012
"Bonheur";"m";0;2;2;1;2014
"Bonnie";"w";0;1;1;1;2010
"Bonnie";"w";0;1;1;1;2011
"Bonnie";"w";0;1;1;1;2012
"Bonny";"m";0;1;1;1;2012
"Bonny";"w";0;1;1;1;2010
"Bono";"m";0;1;1;1;2015
"Bonwiwah";"w";0;1;1;1;2013
"Bonya";"m";0;1;1;1;2017
"Bora";"m";0;1;1;1;2011
"Bora";"m";0;1;1;1;2012
"Bora";"m";0;1;1;1;2015
"Bora";"m";0;1;1;1;2018
"Boran";"m";0;1;1;1;2014
"Borgar";"m";0;1;1;1;2010
"Borges";"w";0;1;1;1;2018
"Boris";"m";1.25;1.5;2;1;2010
"Boris";"m";1.25;1.5;1;1;2011
"Boris";"m";1.25;1.5;1;1;2013
"Boris";"m";1.25;1.5;2;1;2014
"Boris";"m";1.25;1.5;1;1;2015
"Boris";"m";1.25;1.5;1;1;2016
"Boris";"m";1.25;1.5;3;1;2017
"Boris";"m";1.25;1.5;3;1;2018
"Borisa";"w";0;1;1;1;2014
"Borislav";"m";0;1;1;1;2011
"Borislav";"m";0;1;1;1;2014
"Borislav";"m";0;1;1;1;2017
"Borislavov";"m";0;1;1;1;2012
"Borislavov";"m";0;1;1;1;2014
"Borislavov";"m";0;1;1;1;2015
