"firstname";"sex";"spread";"med";"count";"position";"year"
"İlyas";"m";2.25;2;2;1;2016
"İlyas";"m";2.25;2;2;1;2017
"İlyas";"m";2.25;2;5;1;2018
"İlzam";"m";0;1;1;1;2015
"İmran";"m";0.5;1.5;1;1;2013
"İmran";"m";0.5;1.5;2;1;2016
"İnan";"m";0.5;1.5;2;1;2012
"İnan";"m";0.5;1.5;1;1;2014
"İnci";"w";2;2;3;1;2011
"İnci";"w";2;2;3;1;2013
"İnci";"w";2;2;1;1;2014
"İnci";"w";2;2;1;1;2015
"İnci";"w";2;2;3;1;2016
"İnci";"w";2;2;1;1;2017
"İncinaz";"w";0;1;1;1;2014
"İpek";"w";0.5;1;1;1;2010
"İpek";"w";0.5;1;3;1;2011
"İpek";"w";0.5;1;1;1;2012
"İpek";"w";0.5;1;1;1;2013
"İpek";"w";0.5;1;3;1;2014
"İpek";"w";0.5;1;1;1;2016
"İpek";"w";0.5;1;1;1;2017
"İpek";"w";0.5;1;1;1;2018
"İrem";"w";1.5;1.5;4;1;2010
"İrem";"w";1.5;1.5;1;1;2011
"İrem";"w";1.5;1.5;1;1;2012
"İrem";"w";1.5;1.5;1;1;2013
"İrem";"w";1.5;1.5;2;1;2014
"İrem";"w";1.5;1.5;4;1;2015
"İrem";"w";1.5;1.5;1;1;2016
"İrem";"w";1.5;1.5;2;1;2017
"İremsu";"w";0;1;1;1;2014
"İrfan";"m";0;1;1;1;2014
"İrmak";"w";0;1;1;1;2012
"İsa";"m";1;1;1;1;2010
"İsa";"m";1;1;4;1;2011
"İsa";"m";1;1;2;1;2012
"İsa";"m";1;1;1;1;2015
"İsa";"m";1;1;1;1;2016
"İsa";"m";1;1;2;1;2017
"İsa";"m";1;1;1;1;2018
"İsa";"w";0;1;1;1;2012
"İshak";"m";0.75;2;1;1;2011
"İshak";"m";0.75;2;2;1;2012
"İshak";"m";0.75;2;2;1;2013
"İshak";"m";0.75;2;3;1;2014
"İshak";"m";0.75;2;2;1;2017
"İshak";"m";0.75;2;1;1;2018
"İskender";"m";0;1;1;1;2012
"İsmael";"m";0;1;1;1;2014
"İsmail";"m";3;3;7;1;2010
"İsmail";"m";3;3;1;1;2011
"İsmail";"m";3;3;1;1;2012
"İsmail";"m";3;3;6;1;2013
"İsmail";"m";3;3;2;1;2014
"İsmail";"m";3;3;3;1;2015
"İsmail";"m";3;3;4;1;2016
"İsmail";"m";3;3;1;1;2017
"İsmail";"m";3;3;3;1;2018
"İsmail-Ingo";"m";0;1;1;1;2018
"İsmet";"m";0.5;1;3;1;2011
"İsmet";"m";0.5;1;1;1;2012
"İsmet";"m";0.5;1;1;1;2014
"İsmet";"m";0.5;1;1;1;2018
"İsminaz";"w";0;1;1;1;2017
"İsra";"w";0.25;1;1;1;2010
"İsra";"w";0.25;1;2;1;2011
"İsra";"w";0.25;1;1;1;2013
"İsra";"w";0.25;1;1;1;2018
"İsraa";"w";0;1;1;1;2018
"İsrafil";"m";0;1;1;1;2017
"İstanbul";"w";0;1;1;1;2015
"İzel";"w";0;1;1;1;2013
"İzem";"w";0;1;1;1;2013
"İzlem";"w";0;1;1;1;2011
"İzzet";"m";0;2;2;1;2015
"Åsa";"w";0;1;1;1;2015
"Ćamil";"m";0;1;1;1;2012
"Çınar";"m";3;4;1;1;2010
"Çınar";"m";3;4;7;1;2011
"Çınar";"m";3;4;1;1;2012
"Çınar";"m";3;4;2;1;2013
"Çınar";"m";3;4;4;1;2014
"Çınar";"m";3;4;5;1;2015
"Çınar";"m";3;4;5;1;2016
"Çınar";"m";3;4;4;1;2017
"Çınar";"m";3;4;3;1;2018
"Çınarhan";"m";0;1;1;1;2018
"Çölbey";"m";0;1;1;1;2015
"Çağan";"m";0;1;1;1;2011
"Çağan";"m";0;1;1;1;2012
"Çağan";"m";0;1;1;1;2014
"Çağatay";"m";0;1;2;1;2011
"Çağatay";"m";0;1;1;1;2012
"Çağatay";"m";0;1;1;1;2013
"Çağatay";"m";0;1;1;1;2015
"Çağatay";"m";0;1;1;1;2017
"Çağda";"w";0;1;1;1;2014
"Çağla";"w";0;1;1;1;2010
"Çağla";"w";0;1;1;1;2012
"Çağla";"w";0;1;1;1;2016
"Çağlar";"m";0;1;1;1;2013
"Çağlar";"m";0;1;1;1;2016
"Çağrı";"m";0;1;1;1;2011
"Çamer";"m";0;1;1;1;2017
"Çan";"m";0;1;1;1;2011
"Çan";"m";0;1;1;1;2015
"Çayan";"m";0;1;1;1;2010
"Çayan";"m";0;1;1;1;2015
"Çayan";"m";0;1;1;1;2016
"Çekdar";"m";0;1;1;1;2011
"Çengiz";"m";0;1;1;1;2018
"Çenk";"m";0;1;1;1;2011
"Çetin";"m";0;1;1;1;2016
"Çiçek";"w";0;1;1;1;2011
"Çiğdem";"w";0;1;1;1;2011
"Çilay";"w";0;1;1;1;2017
"Çinar";"m";0;1;1;1;2011
"Çinar";"m";0;1;1;1;2014
"Çinar";"m";0;1;1;1;2016
"Çinar";"m";0;1;1;1;2018
"Çisel";"w";0;1;1;1;2012
"Çiya";"m";0;1;1;1;2010
"Édith";"w";0;1;1;1;2018
"Éléonore";"w";0;1;1;1;2010
"Élian";"m";0;1;1;1;2016
"Éliane";"w";0;1;1;1;2018
"Élise";"w";0;1;1;1;2012
"Élise";"w";0;1;1;1;2014
"Élise";"w";0;1;1;1;2015
"Élise";"w";0;1;1;1;2017
"Élodie";"w";0.5;1.5;1;1;2012
"Élodie";"w";0.5;1.5;2;1;2016
"Éloise";"w";0;1;1;1;2012
"Émil";"m";0;1;1;1;2012
"Émile";"m";0.25;1;2;1;2010
"Émile";"m";0.25;1;1;1;2014
"Émile";"m";0.25;1;1;1;2016
"Émile";"m";0.25;1;1;1;2017
"Émilien";"m";0;1;1;1;2014
"Éric";"m";0;1;1;1;2017
"Étienne";"m";0;1;1;1;2010
"Étienne";"m";0;1;2;1;2011
"Étienne";"m";0;1;1;1;2012
"Étienne";"m";0;1;1;1;2015
"Étienne";"m";0;1;1;1;2016
"Đức";"m";1;1;1;1;2011
"Đức";"m";1;1;1;1;2012
"Đức";"m";1;1;3;1;2016
"Đức-Xuân";"m";0;1;1;1;2013
"Đình";"m";0;1;1;1;2012
"Álvaro";"m";0;1;1;1;2012
"Álvaro";"m";0;1;1;1;2014
"Álvaro";"m";0;1;1;1;2015
"Álvaro";"m";0;1;3;1;2016
"Álvaro";"m";0;1;1;1;2018
"Ángel";"m";0;1;1;1;2012
"Ángela";"w";0;1;1;1;2017
"Íris";"w";0;1;1;1;2018
"Áron";"m";0;1;1;1;2015
"Árpád";"m";0;1;1;1;2011
